0	6858 1	8176 0	7954 0	5561 0	1133 0	6269 0	
1	17 1	7188 0	5603 0	
2	8259 1	
3	1761 1	5599 0	2818 0	1672 0	4944 0	765 0	5949 0	
4	223 1	
5	6855 1	
6	6429 1	
7	5954 1	
8	1897 1	
9	621 1	3523 0	2822 0	
10	6067 1	
11	4011 1	
12	4021 1	
13	4242 1	6212 0	3115 0	
14	6796 1	
15	3107 1	4514 0	
16	3855 1	2513 0	
17	1363 1	9140 0	
18	2868 1	1406 0	9091 0	
19	1020 1	7264 0	
20	7443 1	
21	3781 1	8677 0	
22	4218 1	
23	6064 1	
24	226 0	
25	7220 1	
26	5663 1	
27	8937 1	3572 0	1004 0	2117 0	2001 0	
28	1403 1	
29	5249 1	1755 0	47 0	
30	3743 1	4890 0	
31	3700 1	
32	530 1	3721 0	
33	8270 1	
34	7588 1	396 0	
35	3096 1	
36	1290 1	
37	171 1	
38	7999 1	6025 0	2712 0	6772 0	
39	4531 1	
40	7936 1	
41	7630 1	
42	5232 1	
43	2254 1	
44	2927 1	
45	900 1	5867 0	
46	4521 1	
47	2207 1	
48	5702 1	
49	8270 1	
50	2702 1	
51	867 1	
52	2712 1	6645 0	
53	546 1	8270 0	
54	3744 1	
55	9146 1	
56	2712 1	6318 0	
57	4979 1	6798 0	9012 0	
58	9350 1	
59	8281 0	
60	8270 1	1002 0	
61	628 1	
62	9212 1	6443 0	9157 0	
63	900 1	5142 0	
64	4921 1	4155 0	118 0	708 0	
65	7220 1	3317 0	87 0	
66	6241 1	2784 0	
67	8270 1	
68	9305 1	
69	628 1	
70	2712 1	5376 0	6787 0	
71	2941 1	
72	6399 1	
73	3118 1	6190 0	1851 0	3531 0	295 0	7249 0	1238 0	2095 0	
74	8270 0	
75	7773 1	
76	1058 1	
77	7430 1	
78	6459 1	
79	5506 1	
80	1288 1	
81	6385 1	
82	807 1	7589 0	
83	3358 1	3302 0	8928 0	964 0	4670 0	3102 0	6181 0	3991 0	507 0	6586 0	
84	1610 1	
85	679 1	1830 0	4381 0	8290 0	
86	2208 1	
87	9190 1	1620 0	1440 0	
88	1181 1	
89	5105 1	4946 0	1917 0	
90	900 1	
91	1051 0	
92	6835 1	1183 0	
93	1811 1	8567 0	5294 0	
94	3856 1	
95	8536 0	9089 0	
96	4257 1	867 0	
97	4087 1	
98	321 1	7604 0	
99	2486 1	8129 0	
100	1616 1	
101	3732 1	
102	4978 1	
103	7220 1	
104	8923 1	819 0	
105	4887 1	
106	2555 1	8362 0	7947 0	
107	8580 1	
108	4145 1	
109	3255 1	
110	9292 1	
111	8544 1	7961 0	
112	2527 1	6597 0	
113	1805 1	
114	4737 1	
115	7712 1	1825 0	
116	5412 1	6895 0	
117	6953 1	2143 0	
118	8698 1	
119	1153 1	
120	5030 1	
121	5234 1	
122	4291 1	1948 0	
123	2301 1	
124	9244 1	
125	1325 1	
126	1444 1	1906 0	
127	7220 1	
128	628 1	
129	5949 1	
130	1902 0	
131	1567 1	194 0	2774 0	1461 0	
132	5981 1	
133	6870 1	
134	4310 1	7605 0	
135	26 1	3992 0	
136	8270 1	
137	486 1	4906 0	
138	2076 1	
139	2338 1	
140	1245 1	333 0	
141	2569 1	4126 0	
142	8741 1	
143	7220 1	
144	4247 1	
145	4017 1	
146	1252 1	
147	1935 1	
148	7845 1	
149	1718 1	1333 0	3001 0	
150	2814 1	
151	7030 1	
152	5949 1	3432 0	3348 0	607 0	
153	3433 0	8586 0	
154	6905 1	5213 0	9068 0	
155	3813 1	
156	4177 1	
157	4764 1	
158	8846 1	4394 0	
159	4239 1	867 0	
160	900 1	6040 0	5894 0	
161	8270 1	
162	8270 1	
163	8047 1	431 0	1211 0	1550 0	
164	628 1	
165	6367 1	
166	7422 1	7285 0	
167	3956 1	3331 0	
168	7220 1	
169	6442 1	
170	9215 1	
171	5287 1	
172	8270 1	
173	6214 1	
174	6786 1	4589 0	4100 0	1426 0	3448 0	1010 0	8086 0	
175	4095 1	
176	1121 1	867 0	6941 0	
177	4303 1	8270 0	
178	289 1	
179	1546 1	6192 0	
180	2012 1	
181	7049 1	
182	1560 1	
183	1449 0	2121 0	
184	3693 1	
185	2553 1	
186	5992 1	8266 0	5387 0	
187	867 1	
188	711 1	4 0	
189	900 1	
190	4607 1	
191	7861 1	
192	4122 1	7690 0	
193	900 1	1698 0	
194	5705 1	6511 0	4490 0	5168 0	
195	8902 1	
196	3826 1	6113 0	6123 0	
197	5830 1	6374 0	3472 0	2715 0	2712 0	
198	2598 1	
199	1044 1	
200	8270 1	
201	3242 1	
202	5787 1	13 0	9217 0	3548 0	
203	1722 1	
204	923 1	
205	2712 1	
206	2527 1	
207	4978 1	
208	8385 1	
209	3128 1	
210	3372 1	773 0	1647 0	3089 0	5455 0	374 0	1532 0	3013 0	6282 0	2712 0	8317 0	
211	379 1	4070 0	
212	6843 0	1365 0	
213	911 1	
214	2712 1	5677 0	5501 0	
215	4999 1	
216	2843 1	
217	6440 1	
218	4741 1	
